序列名称, 序列长度, GC含量
MN632564.1 Rinderpest morbillivirus strain Lap/PIADC/84 isolate RPV026, complete genome, 15882, 47.93
MN632565.1 Rinderpest morbillivirus strain Lap/PIADC/84 isolate RPV026p1, complete genome, 15882, 47.94
MN632567.1 Rinderpest morbillivirus strain Lap/AVRI isolate RPV029, complete genome, 15882, 47.92
MN632570.1 Rinderpest morbillivirus strain Lap/PIADC/82p1 isolate RPV033p1, complete genome, 15882, 47.93
MN632571.1 Rinderpest morbillivirus strain Lap/EAVRO isolate RPV034, complete genome, 15882, 47.92
MN632605.1 Rinderpest morbillivirus strain Lap/AVRIp12B95 isolate RPV087, complete genome, 15882, 47.95
MN632606.1 Rinderpest morbillivirus strain Lap/AVRIp8B95 isolate RPV089, complete genome, 15882, 47.95
MN632630.1 Rinderpest morbillivirus strain Lap/AVRIp1B95 isolate RPV122, complete genome, 15882, 47.92
MN632633.1 Rinderpest morbillivirus strain Lap/AVRIp1B95 isolate RPV126, complete genome, 15882, 47.82
MN632644.1 Rinderpest morbillivirus strain Lap/AVRIp4B95 isolate RPV142, complete genome, 15882, 47.90
MN632655.1 Rinderpest morbillivirus strain Lap/Japan/LA isolate RPV155, complete genome, 15882, 47.75
HG934338.1 Avian metapneumovirus type C complete genome, strain Muscovy duck/1999/99178/France, 14152, 41.38
MG137430.1 Equine arteritis virus strain KY84_Stallion_D84, complete genome, 12704, 51.54
MG137431.1 Equine arteritis virus strain KY84_Stallion_D94, complete genome, 12704, 51.33
MG137432.1 Equine arteritis virus strain KY84_Stallion_E84, complete genome, 12704, 51.56
MG137433.1 Equine arteritis virus strain KY84_Stallion_E91, complete genome, 12704, 51.47
MG137434.1 Equine arteritis virus strain KY84-L136A-BC6, complete genome, 12704, 51.55
MG137435.1 Equine arteritis virus strain KY84-L136A-NS6, complete genome, 12704, 51.55
MG137436.1 Equine arteritis virus strain KY84-L136A-S5, complete genome, 12704, 51.55
MG137437.1 Equine arteritis virus strain KY84-L136A-S9, complete genome, 12704, 51.55
MG137438.1 Equine arteritis virus strain KY84-L136A-S107, complete genome, 12704, 51.57
MG137439.1 Equine arteritis virus strain KY84-L136A-S170, complete genome, 12704, 51.59
MG137440.1 Equine arteritis virus strain KY84-L136A-S380, complete genome, 12704, 51.58
MG137441.1 Equine arteritis virus strain KY84-L136A-S548, complete genome, 12704, 51.54
MG137442.1 Equine arteritis virus strain KY84-L136A-S726, complete genome, 12704, 51.47
MG137443.1 Equine arteritis virus strain KY84-L137B-BC6, complete genome, 12704, 51.55
MG137444.1 Equine arteritis virus strain KY84-L137B-NS6, complete genome, 12704, 51.55
MG137445.1 Equine arteritis virus strain KY84-L137B-S5, complete genome, 12704, 51.57
MG137446.1 Equine arteritis virus strain KY84-L137B-S9, complete genome, 12704, 51.56
MG137447.1 Equine arteritis virus strain KY84-L137B-S107, complete genome, 12704, 51.55
MG137448.1 Equine arteritis virus strain KY84-L138C-BC6, complete genome, 12704, 51.56
MG137449.1 Equine arteritis virus strain KY84-L138C-NS6, complete genome, 12704, 51.55
MG137450.1 Equine arteritis virus strain KY84-L138C-S5, complete genome, 12704, 51.56
MG137451.1 Equine arteritis virus strain KY84-L138C-S9, complete genome, 12704, 51.56
MG137452.1 Equine arteritis virus strain KY84-L138C-S107, complete genome, 12704, 51.50
MG137453.1 Equine arteritis virus strain KY84-L139D-BC6, complete genome, 12704, 51.55
MG137454.1 Equine arteritis virus strain KY84-L139D-NS6, complete genome, 12704, 51.55
MG137455.1 Equine arteritis virus strain KY84-L139D-S5, complete genome, 12704, 51.54
MG137456.1 Equine arteritis virus strain KY84-L139D-S9, complete genome, 12704, 51.57
MG137457.1 Equine arteritis virus strain KY84-L139D-S107, complete genome, 12704, 51.53
MG137458.1 Equine arteritis virus strain KY84-L139D-S170, complete genome, 12704, 51.50
MG137459.1 Equine arteritis virus strain KY84-L139D-S345, complete genome, 12704, 51.49
MG137460.1 Equine arteritis virus strain KY84-L140E-BC6, complete genome, 12704, 51.53
MG137461.1 Equine arteritis virus strain KY84-L140E-NS6, complete genome, 12704, 51.55
MG137462.1 Equine arteritis virus strain KY84-L140E-S5, complete genome, 12704, 51.57
MG137463.1 Equine arteritis virus strain KY84-L140E-S9, complete genome, 12704, 51.57
